id,deviceManufacturer,deviceModel,deviceSerialNumber,deviceCategory,deviceEntryDate,country
ITA-208985,VMware,Virtual Machine,VMware-42 25 63 2a 1a 65 c1 5f-c2 9b 63 9e 4c 71 b7 40,SERVER,2017-10-22,DE
ITA-208986,VMware,Virtual Machine,VMware-42 25 a4 5e 76 0c d7 ad-92 8c f9 9d 0d 7c 54 72,SERVER,2017-10-22,DE
ITA-115348,Oracle,ORACLE SERVER X6-2L,1649NM70M1,SERVER,2020-03-22,GB
ITA-115350,Oracle,ORACLE SERVER X6-2L,1649NM70VF,SERVER,2020-03-22,GB
ITA-115354,Oracle,ORACLE SERVER X7-2L,1752XC2012,SERVER,2020-03-22,GB
ITA-95489,Trusted DC,unknown,unknown,SERVER,2013-03-22,BR
ITA-115131,Local DC,VMware Virtual Platform,unknown,SERVER,2020-03-22,IT
ITA-76548,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,IT
ITA-85337,Dell,ME4012,11G0K03,SERVER,2011-05-18,FR
ITA-115132,IBM,IBM Flex System x240,06DLCYV,SERVER,2020-03-22,IT
ITA-115133,IBM,IBM Flex System x240,06DLCYW,SERVER,2020-03-22,IT
ITA-115134,IBM,IBM Flex System x240,06FCMYA,SERVER,2020-03-22,IT
ITA-115135,IBM,IBM Flex System x240,06FCMXZ,SERVER,2020-03-22,IT
ITA-115136,IBM,IBM Flex System x240,06GDEDC,SERVER,2020-03-22,IT
ITA-115137,IBM,IBM Flex System x240,S401YHB,SERVER,2020-03-22,IT
ITA-115138,IBM,IBM Flex System x240,S401YGR,SERVER,2020-03-22,IT
ITA-115139,IBM,IBM Flex System x240,06GDEDD,SERVER,2020-03-22,IT
ITA-115140,IBM,IBM Flex System x240,06GDEDA,SERVER,2020-03-22,IT
ITA-115141,IBM,IBM Flex System x240,06GDEDB,SERVER,2020-03-22,IT
ITA-115142,IBM,IBM Flex System x240,J307YV4,SERVER,2020-03-22,IT
ITA-115143,IBM,IBM Flex System x240,J307YV5,SERVER,2020-03-22,IT
ITA-115144,IBM,IBM Flex System x240,S401YH1,SERVER,2020-03-22,IT
ITA-115145,IBM,IBM Flex System x240,S401YH6,SERVER,2020-03-22,IT
ITA-115207,Lenovo,Lenovo SR 360,J700DBDR,SERVER,2001-01-21,IT
ITA-115208,Lenovo,Lenovo SR 360,J700DBDP,SERVER,2001-01-21,IT
ITA-85338,Synology,RS2414RP,14C0M1N188800,SERVER,2011-05-18,FR
ITA-203449,Microsoft,Azure,unknown,SERVER,2022-09-22,FR
ITA-209941,VMware,VMware Virtual Platform,unknown,SERVER,2030-10-22,FR
ITA-86054,PureStorage,FlashArray X20 R2,unknown,SERVER,2008-02-22,TR
ITA-116986,Checkpoint,Checkpoint 4400,1436B02120,SERVER,2020-03-22,GB
ITA-116985,Checkpoint,Checkpoint 4400,1436B02151,SERVER,2020-03-22,GB
ITA-116989,Checkpoint,Checkpoint 4600,1205B01361,SERVER,2020-03-22,GB
ITA-116990,Checkpoint,Checkpoint 4600,1435B00940,SERVER,2020-03-22,GB
ITA-115362,Trusted DC,unknown,VMWARE-42 20 D5 13 97 3D F5 FC-84 C0 ED D1 50 EE 27 B8,SERVER,2020-03-22,GB
ITA-134320,VMware,VMware Virtual Platform,unknown,SERVER,2011-05-22,BR
ITA-76727,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76728,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76729,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76730,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76732,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76731,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76734,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76733,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76735,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76736,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76738,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76737,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76739,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76740,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76741,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76742,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-90273,VMware,VMware Virtual Platform,unknown,SERVER,2023-02-22,BR
ITA-76743,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76744,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76745,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76746,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76747,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
ITA-76748,VMware,VMware Virtual Platform,unknown,SERVER,2001-02-22,BR
